time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-09-11T02:54:30.757Z,0.4613,126.3278,51.39,4.1,mb,,48,1.083,0.67,us,us7000fa7f,2021-09-11T03:24:20.040Z,"123 km WSW of Ternate, Indonesia",earthquake,7.7,5.3,0.198,9,reviewed,us,us
2021-09-04T15:52:50.669Z,-0.0933,124.3766,63.42,4.7,mb,,75,1.86,1.33,us,us7000f7y6,2021-09-04T16:18:02.040Z,"162 km ESE of Gorontalo, Indonesia",earthquake,7.1,8.3,0.089,38,reviewed,us,us
2021-09-01T13:40:39.913Z,-0.0469,123.916,97.69,4.3,mb,,48,1.511,0.68,us,us7000f6q4,2021-09-08T08:28:30.040Z,"114 km SE of Gorontalo, Indonesia",earthquake,3,8.5,0.111,24,reviewed,us,us
2021-08-30T21:05:27.432Z,0.0202,124.4406,68.01,4.5,mb,,52,1.974,1.3,us,us7000f5wg,2021-09-10T03:44:50.040Z,"148 km SSW of Tomohon, Indonesia",earthquake,7,6.9,0.088,38,reviewed,us,us
2021-08-10T05:13:40.320Z,1.8083,126.3027,38.53,4.2,mb,,112,1.48,0.49,us,us6000f8db,2021-08-22T12:43:38.040Z,"151 km ENE of Laikit, Laikit II (Dimembe), Indonesia",earthquake,8.8,7.5,0.147,14,reviewed,us,us
2021-08-08T07:07:04.993Z,1.4241,126.3214,42.54,4.2,mb,,153,1.229,0.64,us,us6000f7in,2021-09-02T12:17:29.040Z,Molucca Sea,earthquake,9.1,7.6,0.142,14,reviewed,us,us
2021-08-07T06:44:50.510Z,0.4469,126.2614,49.28,4.6,mb,,48,1.151,0.64,us,us6000f705,2021-08-26T05:59:12.040Z,"130 km WSW of Ternate, Indonesia",earthquake,6.6,8,0.109,25,reviewed,us,us
2021-08-06T21:17:24.103Z,-0.0454,125.3926,56.94,4.5,mb,,63,2.134,0.59,us,us6000f5ms,2021-08-22T05:04:23.040Z,"158 km SSE of Tondano, Indonesia",earthquake,4.4,9.3,0.156,12,reviewed,us,us
2021-08-06T16:01:40.386Z,1.1231,125.5728,82.36,4.2,mb,,74,1.827,1.07,us,us6000f5mi,2021-08-29T17:49:27.276Z,"76 km ESE of Tondano, Indonesia",earthquake,7.2,7.1,0.137,15,reviewed,us,us
2021-08-05T07:44:11.165Z,2.3927,125.4868,158.02,4.3,mb,,105,2.474,1.32,us,us6000f5j7,2021-08-20T12:52:24.040Z,"115 km NNE of Laikit, Laikit II (Dimembe), Indonesia",earthquake,9.6,5.5,0.267,4,reviewed,us,us
2021-08-04T18:29:08.284Z,0.9052,126.2584,22.93,4.4,mb,,64,1.116,0.71,us,us6000f4jf,2021-09-10T13:36:45.040Z,"125 km W of Ternate, Indonesia",earthquake,7.8,5.8,0.149,13,reviewed,us,us
2021-08-02T09:10:18.755Z,1.2244,125.822,10,4,mb,,109,1.608,1.17,us,us6000f3v2,2021-09-02T12:57:28.040Z,"98 km ESE of Laikit, Laikit II (Dimembe), Indonesia",earthquake,7.7,2,0.232,5,reviewed,us,us
2021-08-01T11:39:19.563Z,-0.0804,124.8822,76.78,4.6,mb,,42,2.316,0.96,us,us6000f17x,2021-09-10T07:44:15.040Z,"153 km S of Tondano, Indonesia",earthquake,8.2,8.4,0.098,31,reviewed,us,us
2021-07-31T05:29:21.624Z,1.9721,124.1382,298.9,4.2,mb,,95,3.29,0.59,us,us6000f2tj,2021-08-19T04:27:30.040Z,"95 km NW of Manado, Indonesia",earthquake,5,9.5,0.132,16,reviewed,us,us
2021-07-30T10:07:46.798Z,1.5377,124.4335,238.47,4.2,mb,,81,3.029,0.42,us,us6000f2q4,2021-09-02T14:45:35.040Z,"46 km W of Manado, Indonesia",earthquake,10.3,2.8,0.187,8,reviewed,us,us
2021-07-24T02:26:18.252Z,-0.0394,124.2631,91.73,4.4,mb,,131,1.793,0.76,us,us6000f0cr,2021-07-31T00:22:46.040Z,"148 km ESE of Gorontalo, Indonesia",earthquake,11.6,10.4,0.219,8,reviewed,us,us
2021-07-18T10:40:01.482Z,-0.0056,123.8082,105.07,4.8,mb,,43,1.46,0.71,us,us7000en55,2021-08-05T06:04:22.040Z,"102 km SE of Gorontalo, Indonesia",earthquake,5.7,6.5,0.065,74,reviewed,us,us
2021-07-15T21:26:59.058Z,0.9199,126.1494,26.64,4.3,mb,,128,1.226,0.23,us,us6000exp4,2021-08-19T22:24:45.040Z,"138 km W of Ternate, Indonesia",earthquake,9.5,8,0.217,6,reviewed,us,us
2021-07-14T17:52:56.992Z,1.0216,126.1194,10,4.9,mb,,53,1.271,0.66,us,us7000elyj,2021-08-17T23:57:48.040Z,"137 km ESE of Laikit, Laikit II (Dimembe), Indonesia",earthquake,5.7,1.8,0.048,141,reviewed,us,us
2021-07-13T19:46:53.131Z,0.7486,126.1773,22.85,4.5,mb,,54,1.189,0.77,us,us7000elnz,2021-08-11T16:30:08.040Z,"134 km W of Ternate, Indonesia",earthquake,4.3,4.8,0.064,79,reviewed,us,us
2021-07-11T02:16:31.198Z,0.0131,123.317,129.92,4.6,mb,,49,1.181,1.21,us,us6000eu9t,2021-08-05T23:07:23.040Z,"64 km SSE of Gorontalo, Indonesia",earthquake,6.5,2.6,0.095,35,reviewed,us,us
2021-07-10T11:49:57.901Z,0.5799,123.5653,252.62,4.5,mb,,66,1.795,0.51,us,us6000eu3l,2021-08-04T09:24:59.040Z,"56 km E of Gorontalo, Indonesia",earthquake,7.6,7.6,0.106,26,reviewed,us,us
